1.000000 0.001260
0.998487 0.001573
0.996006 0.002084
0.993218 0.002657
0.990036 0.003308
0.986339 0.004061
0.981939 0.004952
0.976531 0.006040
0.969573 0.007427
0.960005 0.009314
0.945494 0.012128
0.920898 0.016769
0.881079 0.023950
0.832497 0.032169
0.782210 0.040065
0.731707 0.047372
0.681251 0.054044
0.630983 0.060046
0.581033 0.065341
0.531542 0.069883
0.482664 0.073621
0.434655 0.076496
0.388408 0.078424
0.344546 0.079208
0.302084 0.078818
0.261014 0.077242
0.221604 0.074477
0.184275 0.070556
0.149681 0.065587
0.118841 0.059840
0.093017 0.053826
0.072890 0.048152
0.057882 0.043177
0.046711 0.038925
0.038200 0.035269
0.031520 0.032067
0.026131 0.029208
0.021685 0.026605
0.017951 0.024198
0.014775 0.021941
0.012047 0.019798
0.009693 0.017744
0.007658 0.015757
0.005904 0.013821
0.004405 0.011924
0.003141 0.010057
0.002101 0.008215
0.001277 0.006396
0.000664 0.004605
0.000254 0.002847
0.000040 0.001132
0.000009 -0.000527
0.000158 -0.002212
0.000510 -0.003932
0.001080 -0.005666
0.001882 -0.007397
0.002918 -0.009110
0.004192 -0.010797
0.005708 -0.012454
0.007473 -0.014083
0.009502 -0.015689
0.011819 -0.017280
0.014462 -0.018866
0.017484 -0.020459
0.020962 -0.022074
0.025005 -0.023727
0.029776 -0.025439
0.035517 -0.027235
0.042606 -0.029146
0.051654 -0.031210
0.063673 -0.033464
0.080285 -0.035909
0.103626 -0.038408
0.135108 -0.040585
0.173962 -0.041993
0.218271 -0.042438
0.266537 -0.041981
0.317827 -0.040790
0.371376 -0.039069
0.425230 -0.037031
0.478782 -0.034574
0.533217 -0.031713
0.588501 -0.028541
0.644445 -0.025143
0.700851 -0.021585
0.757520 -0.017918
0.814177 -0.014178
0.869498 -0.010455
0.915585 -0.007287
0.943228 -0.005351
0.958794 -0.004246
0.968805 -0.003529
0.976000 -0.003010
0.981558 -0.002608
0.986063 -0.002280
0.989841 -0.002005
0.993088 -0.001768
0.995931 -0.001559
0.998459 -0.001373
1.000000 -0.001260
