   100  0.00000  0
   1.00000  0.00126  0.41952
   0.98277  0.00365  0.18476
   0.95567  0.00731  0.09398
   0.92422  0.01142  0.03056
   0.89128  0.01556 -0.01924
   0.85793  0.01959 -0.06155
   0.82446  0.02348 -0.09909
   0.79095  0.02723 -0.13364
   0.75742  0.03083 -0.16650
   0.72389  0.03428 -0.19848
   0.69035  0.03757 -0.22994
   0.65683  0.04071 -0.26127
   0.62333  0.04367 -0.29350
   0.58987  0.04646 -0.32593
   0.55645  0.04905 -0.35944
   0.52309  0.05143 -0.39426
   0.48980  0.05357 -0.43074
   0.45660  0.05546 -0.46870
   0.42351  0.05707 -0.50860
   0.39055  0.05837 -0.55084
   0.35774  0.05932 -0.59537
   0.32511  0.05988 -0.64322
   0.29272  0.06001 -0.69457
   0.26060  0.05965 -0.75001
   0.22884  0.05875 -0.81054
   0.19755  0.05723 -0.87778
   0.16693  0.05503 -0.95306
   0.13730  0.05207 -1.03953
   0.10929  0.04832 -1.14043
   0.08399  0.04389 -1.25799
   0.06271  0.03908 -1.39100
   0.04603  0.03431 -1.53308
   0.03346  0.02983 -1.67808
   0.02399  0.02566 -1.81863
   0.01674  0.02173 -1.94612
   0.01114  0.01793 -2.04188
   0.00682  0.01419 -2.06417
   0.00360  0.01041 -1.93683
   0.00141  0.00659 -1.56625
   0.00025  0.00277 -0.92990
   0.00025 -0.00277  0.12430
   0.00141 -0.00659  0.65823
   0.00360 -0.01041  0.93435
   0.00682 -0.01419  0.99978
   0.01114 -0.01793  0.94871
   0.01674 -0.02173  0.84592
   0.02399 -0.02566  0.72418
   0.03346 -0.02983  0.59809
   0.04603 -0.03431  0.47539
   0.06271 -0.03908  0.36110
   0.08399 -0.04389  0.26108
   0.10929 -0.04832  0.18034
   0.13730 -0.05207  0.11902
   0.16693 -0.05503  0.07390
   0.19755 -0.05723  0.04088
   0.22884 -0.05875  0.01703
   0.26060 -0.05965  0.00001
   0.29272 -0.06001 -0.01163
   0.32511 -0.05988 -0.01932
   0.35774 -0.05932 -0.02367
   0.39055 -0.05837 -0.02571
   0.42351 -0.05707 -0.02580
   0.45660 -0.05546 -0.02404
   0.48980 -0.05357 -0.02143
   0.52309 -0.05143 -0.01775
   0.55645 -0.04905 -0.01299
   0.58987 -0.04646 -0.00760
   0.62333 -0.04367 -0.00145
   0.65683 -0.04071  0.00520
   0.69035 -0.03757  0.01254
   0.72389 -0.03428  0.02104
   0.75742 -0.03083  0.03058
   0.79095 -0.02723  0.04134
   0.82446 -0.02348  0.05377
   0.85793 -0.01959  0.06982
   0.89128 -0.01556  0.08988
   0.92422 -0.01142  0.11619
   0.95567 -0.00731  0.15453
   0.98277 -0.00365  0.21881
   1.00000 -0.00126  0.41952
